Datetime,Species,Latitude,Longitude,Group Size,Calves,Comments
1/4/2015 15:05,Mn,-64.802965,-63.953622,2,1,
1/6/2015 12:40,Mn,-64.754428,-64.124528,2,1,No fluke img
1/7/2015 15:04,Mn,-64.772608,-64.062257,3,1,Resight of from P1 on 20150106 
1/8/2015 9:46,Mn,-64.81106,-64.04887,4,2,
1/8/2015 10:54,Mn,-64.77209,-64.11517,1,0,Lost animal
1/8/2015 10:54,Mn,-64.78343,-64.13689,1,0,
1/8/2015 15:51,Mn,-64.79211,-63.98307,1,0,Concurrent EK-60 data
1/9/2015 9:30,Mn,-64.81699,-64.03462,1,0,Feeding near start of Transect 3
1/9/2015 13:18,Mn,-64.76994,-64.06525,1,0,White peduncle juvenile in Arthur Harbor
1/9/2015 17:32,Mn,-64.80913,-63.98382,3,0,Chris Linder photos
1/9/2015 19:09,Mn,-64.80544,-64.04114,2,0,
1/10/2015 9:30,Mn,-64.79413,-64.09897,6,1,Fecal sample
1/10/2015 10:56,Mn,-64.79978,-64.12309,2,0,Resight of Mn-15-09-F-P
1/10/2015 15:44,Mn,-64.82221,-64.01944,3,0,Fecal sample
1/11/2015 10:52,Mn,-64.81254,-64.03062,3,0,
1/11/2015 12:39,Mn,-64.79262,-63.98688,2,1,
1/11/2015 13:12,Mn,-64.78915,-63.98785,1,0,Resight of animal from P-1
1/11/2015 16:11,Mn,-64.75744,-64.09077,1,0,Resight of Mn-15-09-B-P
1/12/2015 15:38,Mn,-64.79107,-63.984,5,0,Social trio
1/13/2015 9:45,Mn,-64.7734,-64.1723,2,1,
1/13/2015 14:38,Mn,-64.83412,-64.06652,4,0,Concurrent EK-60 data
1/13/2015 16:02,Mn,-64.82307,-64.07906,5,1,Female with line scar on peduncle
1/13/2015 17:25,Mn,-64.71566,-64.06356,2,0,
1/14/2015 9:20,Mn,-64.80318,-64.09332,3,1,Resight of Mn-15-13-F-P
1/14/2015 9:35,Mn,-64.81219,-64.08537,1,0,
1/14/2015 10:22,Mn,-64.80389,-64.07435,2,0,
1/14/2015 13:50,Mn,-64.77613,-64.10193,2,1,
1/14/2015 14:34,Mn,-64.78017,-64.14503,1,0,
1/14/2015 15:05,Mn,-64.80264,-64.06924,4,1,Concurrent EK-60 data
1/14/2015 16:34,Mn,-64.79518,-64.07454,5,1,
1/16/2015 16:34,Mn,-64.80956,-63.99746,2,1,
1/17/2015 19:12,Mn,-64.79572,-64.0723,2,0,No photos
1/17/2015 20:18,Mn,-64.81623,-64.07899,2,0,Possible resight of P-01
1/18/2015 9:45,Mn,-64.81344,-64.01924,1,0,No photos
1/18/2015 10:37,Mn,-64.79298,-64.07282,2,1,
1/19/2015 9:13,Mn,-64.78465,-64.00767,1,0,
1/19/2015 10:25,Mn,-64.79287,-64.15157,2,0,
1/19/2015 10:55,Mn,-64.79549,-64.16387,4,0,
1/21/2015 10:13,Mn,-64.8165,-64.11045,5,1,
1/21/2015 11:41,Mn,-64.82664,-64.04306,1,0,
1/21/2015 12:05,Mn,-64.81847,-64.06811,2,1,Resighting of M/C from P-01
1/21/2015 14:38,Mn,-64.80895,-64.16169,2,0,Resighting of two animals from P-01
1/21/2015 15:06,Mn,-64.79,-64.1644,2,1,Resight of P-03 and P-01 (partial)
1/21/2015 15:36,Mn,-64.78448,-64.14745,1,0,
1/21/2015 17:13,Mn,-64.79237,-64.0652,3,0,
1/23/2015 9:37,Mn,-64.79116,-63.98347,1,0,No photos
1/25/2015 12:53,Mn,-64.79798,-63.97482,2,0,
1/25/2015 12:53,Bb,-64.79798,-63.97482,1,0,
1/26/2015 11:07,Mn,-64.82279,-64.07594,1,0,
1/26/2015 14:35,Mn,-64.80837,-63.99686,1,0,
1/26/2015 15:54,Mn,-64.78372,-64.00709,1,0,Resight of P-01
1/27/2015 13:47,Mn,-64.8254,-63.83577,2,0,Biscoe Trip
1/28/2015 9:15,Mn,-64.77609,-64.10952,2,1,
1/28/2015 10:15,Mn,-64.73647,-64.1805,2,1,
1/28/2015 14:27,Mn,-64.78502,-64.06343,1,0,No photos
1/28/2015 15:19,Mn,-64.77025,-64.12976,1,0,
1/30/2015 13:31,Mn,-64.7721,-64.06699,2,0,
1/30/2015 14:35,Mn,-64.79807,-64.07176,2,0,
1/30/2015 18:00,Mn,-64.77802,-64.08808,2,1,Resight from P-01 on 01/28/15
2/1/2015 8:33,Mn,-64.79052,-64.07531,2,1,
2/1/2015 16:37,Mn,-64.78721,-64.09069,2,1,
2/2/2015 9:12,Mn,-64.81872,-64.02628,2,0,
2/2/2015 14:15,Mn,-64.78053,-64.13001,2,0,
1/16/2016 19:54,Mn,-64.77921,-64.1482,1,0,Single individual travelling
1/17/2016 9:11,Mn,-64.783043,-64.082755,1,0,"Waypoint 28, biopsied in am and seen again feeding in station E transect about 5-6 hrs later. Got better photos and opportunistic prey sampling. "
1/17/2016 15:07,Mn,-64.773002,-64.054003,3,0,"A has white lobes, B smaller small white patches on trailing, C has all white, Photos Starts 038, Spacer 55"
1/17/2016 15:56,Oo,-64.814302,-63.965388,7,0,Large male and smaller individual Wpt 15
1/17/2016 16:03,Mn,-64.814302,-63.965388,2,1,"Wpt 16, MOM HAS CIRCULAR WOUND ON RIGHT DORSAL"
1/18/2016 10:17,Mn,-64.735362,-64.202722,1,0,Animal A has spotty diatoms on right lobe
1/18/2016 10:49,Bb,-64.735362,-64.202722,1,0,Seen surface two times and then disappeared
1/18/2016 10:58,Mn,-64.735362,-64.202722,2,0,Animal B
1/18/2016 11:26,Mn,-64.735362,-64.202722,1,0,Animal C
1/19/2016 9:34,Bb,-64.772517,-64.06392,1,0,"heard blow and then seen for three surfaces, dissappeared shortly there after, seen near torgy"
1/19/2016 10:23,Mn,-64.818093,-64.108525,2,0,"Just 500m outside boating limits, south east of laggard"
1/20/2016 10:39,Mn,-64.811165,-63.997928,1,0,"A small white Windows, smaller animal"
1/20/2016 10:57,Mn,-64.807393,-63.968565,2,0,"B has white Windows flat dorsal on top, smaller animal
C (juvenile),  mom scaring in trailing edge of dorsal no fluke shot
"
1/20/2016 11:25,Mn,-64.802897,-63.960427,1,0,D
1/24/2016 11:15,Mn,-64.811302,-64.06664,2,0,"Mom with juvenile, sampled mom and juvenile, mom has very large scar on left dorsal area"
1/24/2016 11:35,Mn,-64.811302,-64.06664,2,0,juvenile of mom. Both were taking fairly long dives
1/24/2016 14:17,Mn,-64.834603,-63.860947,1,0,animal out by biscoe. Sort of just logging at the surface while travelling. 
1/27/2016 14:17,Bb,-64.81873,-63.8539,1,0,"seen whale once, heard it twice, then disappeared"
2/1/2016 10:38,Mn,-64.785943,-64.009087,1,0,single animal traveling out from De'Laca towards Dream. White scarring on trailing of dorsal. 
2/1/2016 14:10,Mn,-64.785943,-64.009087,1,0,"no photos, seen blow once, then dive, never seen resurface. Beaufort 3, poor sighting conditions"
2/6/2016 14:09,Mn,-64.81316,-64.01707,2,1,"Mom and calf pair travelling. Mome seemed thin, calf was pretty small. Calf had scarring on trailing edge of dorsal. Sighting wpt 26, biopsy wpt 27. Mom was only taking one breath in between dives, making it difficult to collect a sample "
2/22/2016 9:31,Mn,-64.81016,-64.08205,1,0,White fluke no fluke photo. On edge of boating limits so sampled. Wpt 30
2/22/2016 11:02,Mn,-64.737173,-64.187327,2,1,Waypoint 32. Juvi has grey splotching on right dorsal. Both have white lower half of peducnle. Mom and calf
2/29/2016 14:02,Mn,-64.787492,-64.116022,1,0,Waypoint 37. We were running the stnE express transect when the whale appeared just feet from the boat. Stopped engine and the whale came and spy hopped 5ft from our starboard side then procedded to swim under and around us for several minutes. Then took off. Took about 45 minutes to get sample as he was travelling great distances under water not feeding. No krill around. 
3/9/2016 10:07,Mn,-64.807162,-64.117923,1,0,Waypoint 42. Spotted at distance. Approached and was just logging at surface. Chunk of dorsal missing. 
3/13/2016 13:45,Mn,-64.79539,-64.141308,3,0,"Waypoint 44- group of three and then third animal left, surface feeding"
3/13/2016 14:21,Mn,-64.79539,-64.141308,3,0,"Waypoint 44- group of three joined by fourth animal, surface feeding, one smaller (juvenile sized) animal"
3/13/2016 16:18,Mn,-64.79539,-64.141308,2,0,"Waypoint 44- group of two, one animal juvenile size"
3/14/2016 16:30,Mn,-64.79758,-64.13671,1,0,"Waypoint 45, juvenile being active (rolling, fluke slapping, curiously approaching boat). Note: also saw two other groups of two HUWH just outside boating area by outcast and toward dream island)"
3/19/2016 10:41,Mn,-64.823858,-64.037657,1,0,"We seen blow first during an ek 60 survery, pulled up gera to approach whale, by the time we got to it it was out of boating area. "
3/25/2016 10:29,Mn,-64.79528,-63.86755,2,0,"waypoint 49, pair travelling in shore in biscoe. One has pointy dorsal (A), and one has boxy (B)"
3/25/2016 10:58,Mn,-64.79586,-63.870217,1,0,"small juvenile travelling inshore, heading from bsicoe to cormorant"
3/29/2016 11:21,Mn,-64.756772,-64.12722,2,0,Waypoint 53 
3/29/2016 11:21,Bb,-64.756772,-64.12722,1,0,one whale travelling along humpbacks
3/29/2016 11:41,Mn,-64.757915,-64.15225,3,0,Waypoint 56. photos start at 0776
3/29/2016 11:59,Mn,-64.743762,-64.146505,1,0,Waypoint 58. missing half of fluke (left side) LJP recognizes whale from '09
3/29/2016 12:43,Mn,-64.744782,-64.136073,2,0,adult w/juvenile
3/31/2016 10:32,Mn,-64.79466,-63.98366,2,0,Mom w/ jvenile
4/1/2016 9:43,Mn,-64.781107,-64.120698,1,0,"Individual from March 29, Mn16_089C_P"
4/1/2016 15:01,Mn,-64.76669,-64.12126,2,0,Waypoint 64. same pair we sampled the other day (Mn16_089G and Mn16_089H)
4/1/2016 15:36,Mn,-64.751363,-64.157265,1,0,Waypoint 65
4/1/2016 15:37,Bb,-64.751363,-64.157265,1,0,"Waypoint 66, followed for a while to try and get sampled, was just to evasive and sneaky"
4/1/2016 16:05,Mn,-64.746025,-64.151435,4,0,"Waypoint 67 (sampled 2/4 animals. Notes for photo ID: boxy frame 84, pointy has an all white fluke, mutilated also has a white fluke, frame 93, Nemo frame 73 and 88)"
4/1/2016 16:59,Mn,-64.746025,-64.151435,3,0,"Notes for photo ID: frame 145 is boxy df not sampled, frame 143 is ""mutys brother"" and frame 139 was biopsy)"
4/1/2016 16:59,Mn,-64.746025,-64.151435,3,0,"Group of three, that now had an animal from the original group (mutilated) of 4 and two other animals, which we samled the point dorsal with white/grey scarring"
4/2/2016 15:25,Mn,-64.755687,-64.149148,2,0,Waypoint 69. Resighting of Mm16_092D_P and Mn16_092E_P
4/2/2016 15:25,Mn,-64.755687,-64.149148,3,0,Waypoint 72. Sampled Mn_093A_P who was with two animals previously biopsied (Mn16_092B_P and Mn16_089C_P)
4/2/2016 15:25,Mn,-64.755687,-64.149148,2,0,Waypoint 74. Sampled Mn16_093B who was with Mn16_092E_P
4/2/2016 15:25,Mn,-64.755687,-64.149148,3,0,Sampled Mn16_093C_P who was with Mn16_092D_P and Mn16_092E_P
4/2/2016 15:25,Oo,-64.755687,-64.149148,20,5,At least 3 males with group of females and calves
4/3/2016 14:27,Mn,-64.764132,-64.17007,2,0,Waypoint 77. Mom and calf from other day. Near Norsel Pt. 
4/4/2016 9:59,Mn,-64.760478,-64.102162,2,0,Waypoint 80. Another re-sight of Mn16_089G and 089H. 
4/4/2016 12:01,Mn,-64.769278,-64.138512,2,0,Re-sight of Mn16_092VE_P with unknown animal. 
4/4/2016 12:47,Mn,-64.758523,-64.116318,1,0,Waypoint 82
4/4/2016 15:08,Mn,-64.769355,-64.13137,1,0,Waypoint 83
4/7/2016 16:20,Mn,-64.757268,-64.103138,2,0,Waypoint 85. Resight of Mn16_073C_P and Mn16_073D_P. Resample of 073C
4/7/2016 16:20,Mn,-64.764617,-64.126443,1,0,Waypoint 86
4/7/2016 16:20,Mn,-64.764617,-64.126443,3,0,"Group of three, sampled two (Mn16_098C_P and Mn16_098D_P)"
4/8/2016 10:00,Mn,-64.760173,-64.114933,1,0,"Waypoint 86. small sample (maybe because biopsied high near df). Whale was logging at surface, dove after biopsy and resumed resting after biopsy"
4/8/2016 10:00,Mn,-64.760173,-64.114933,2,0,Whales just outside boating area (another handful ~5 on horizon)
4/8/2016 11:22,Mn,-64.798928,-64.13763,3,0,Pair of three sampled. One juvenile w/ a thin adult and one other adult (possible escort?)
1/5/2017 18:44,Mn,-64.784377,-64.016295,2,0,
1/6/2017 9:49,Mn,-64.80952,-64.046382,1,0,"Wpt 002
Fluke 6406canimzal b
Dorsal animal white fluke 6458 dorsal 6466 biopsy c
"
1/6/2017 10:51,Mn,-64.809552,-64.046412,2,1,"Wpt 5
Mom with calf
 Fluke 6511"
1/6/2017 11:12,Mn,-64.78246,-64.06066,3,1,"Wpt 7
Large adult two smaller white Windows
Fluke6579 sample e"
1/8/2017 8:58,Mn,-64.774377,-64.054029,2,0,"A little fluke 235
B big fluke 238"
1/8/2017 9:22,Mn,-64.794057,-64.061867,3,0,
1/8/2017 9:41,Bb,-64.79627,-64.069567,1,0,
1/8/2017 10:23,Mn,-64.806177,-64.070307,2,0,"Notched dorsal fluke 356 dorsal 344
Other dorsal 341 fluke 365
Dave and Julian flyover"
1/8/2017 12:11,Mn,-64.803168,-64.087713,1,0,
1/8/2017 13:30,Mn,-64.8154,-64.058587,1,0,"Fluke 524, single animal alone near station E"
